word,n,rank
news,867,1
fake,683,2
people,584,3
real,467,4
video,353,5
media,321,6
videos,230,7
nbc,225,8
generated,221,9
time,171,10
internet,156,11
world,140,12
it’s,135,13
trump,116,14
content,113,15
difference,98,16
trust,91,17
stop,90,18
lol,89,19
stuff,82,20
bad,81,21
social,81,22
voice,76,23
technology,75,24
anymore,74,25
a.i,73,26
truth,72,27
youtube,72,28
misinformation,70,29
tech,67,30
mainstream,66,31
create,65,32
don’t,64,33
government,64,34
hear,63,35
human,63,36
money,63,37
sound,61,38
person,60,39
lie,59,40
reality,58,41
watermark,58,42
life,57,43
public,57,44
day,56,45
information,56,46
gonna,55,47
google,55,48
slop,55,49
watch,55,50
watching,55,51
imagine,54,52
lies,54,53
law,53,54
propaganda,52,55
stupid,51,56
images,50,57
source,50,58
actual,49,59
funny,49,60
line,49,61
reporting,49,62
true,49,63
companies,48,64
false,48,65
lot,47,66
remember,46,67
reports,46,68
report,45,69
wait,45,70
dangerous,44,71
easy,44,72
future,44,73
humans,43,74
msm,43,75
start,43,76
story,43,77
happen,42,78
left,42,79
makes,42,80
society,42,81
control,41,82
decades,41,83
obama,41,84
president,40,85
completely,39,86
created,39,87
dont,39,88
spread,39,89
stories,39,90
hard,38,91
power,38,92
sources,38,93
that’s,38,94
times,38,95
tool,38,96
yeah,38,97
coming,37,98
guy,37,99
scary,37,100
sounds,37,101
worse,36,102
wrong,36,103
black,35,104
days,35,105
half,35,106
humanity,35,107
illegal,35,108
ago,34,109
evidence,34,110
job,34,111
thinking,34,112
believing,33,113
cooked,33,114
evil,33,115
guys,33,116
online,33,117
talking,33,118
telling,33,119
channel,32,120
eyes,32,121
love,32,122
lying,32,123
question,32,124
i’m,31,125
matter,31,126
verify,31,127
can’t,30,128
country,30,129
crazy,30,130
generate,30,131
hate,30,132
jobs,30,133
live,30,134
living,30,135
sense,30,136
understand,30,137
90s,29,138
ban,29,139
crap,29,140
easier,29,141
feel,29,142
god,29,143
read,29,144
told,29,145
art,28,146
check,28,147
easily,28,148
happening,28,149
major,28,150
obvious,28,151
outlets,28,152
realistic,28,153
reason,28,154
zimmerman,28,155
brain,27,156
cnn,27,157
free,27,158
hope,27,159
level,27,160
movie,27,161
war,27,162
allowed,26,163
call,26,164
called,26,165
data,26,166
legacy,26,167
screen,26,168
tools,26,169
china,25,170
finally,25,171
footage,25,172
laws,25,173
original,25,174
pretty,25,175
regulate,25,176
traditional,25,177
arrested,24,178
care,24,179
channels,24,180
guess,24,181
literally,24,182
white,24,183
artists,23,184
change,23,185
common,23,186
company,23,187
countries,23,188
fakes,23,189
reporters,23,190
talk,23,191
audio,22,192
camera,22,193
heard,22,194
intelligence,22,195
mad,22,196
movies,22,197
political,22,198
research,22,199
started,22,200
watermarks,22,201
word,22,202
you’re,22,203
agenda,21,204
comment,21,205
critical,21,206
exist,21,207
fooled,21,208
fox,21,209
generation,21,210
networks,21,211
opinion,21,212
pushing,21,213
we’re,21,214
what’s,21,215
wow,21,216
america,20,217
boomers,20,218
clips,20,219
context,20,220
creating,20,221
crime,20,222
dead,20,223
digital,20,224
dumb,20,225
fall,20,226
folks,20,227
garbage,20,228
huge,20,229
phone,20,230
push,20,231
simply,20,232
software,20,233
