"text","likeCount","reply"
"每期必看",20,FALSE
"胖貓事件是中共為了掩飾某件事而操作出來的，網路上版本超多種，你影片上的照片是我第一次看到，還有其他不同照片，而且差異很大，根本不同人",25,FALSE
"給大家推薦一個靠譜的移民機構，有移民需求的朋友請看節目，掃描二維碼了解詳情！ 普瑞堂「玄寶黑蔘」、「黑蔘原蔘」系列產品訂購網站  注意：只要輸入專屬折扣碼「JGY2023」，即可享受全球免費郵寄的優惠！ 優質購物網「藍莓優品」全網大優惠！ 現在登陸 輸入專屬折扣碼「JGY」即可享受八五折大優惠！ 買滿70，美國&台灣境內包郵！ 郵件諮詢：lanmeiyoupin.net 打賞支持  「乾淨世界」 「神韻藝術團」  「神韻作品」 聯絡郵箱 mrfunnynewsjiang.com 光宇推特",39,FALSE
"法语的女儿，没有上过任何课外班，自己申请决定，9月份去渥太华大学读心理学，渥太华大学两室的公寓已轻松搞定，等她9月份生日一过她就是屋主。圆满成功！",4,FALSE
"No.5",3,FALSE
"真不理解怎么有这么多人对这个时那么上心。",2,FALSE
"幻覺！ 說得貼切！",8,FALSE
"謝謝光宇老師的分享與介紹",11,FALSE
"先点赞再观看",13,FALSE
"其实我本人不同情这男孩！他从没考虑过父母恩、姐姐照拂、妹妹伴玩、同伴的友情吗？我农村生、三岁死娘！仅靠自己之力，金银房产我全有！儿时的梦想伴着眼泪、沿着我脚印、不经意间全实现。予取予求，要风得风 要雨得雨、全靠自己。谢谢光宇！",8,FALSE
"不懂这些男孩子脑子怎么长的",1,FALSE
"宇帅好！几天不见！胖猫可怜没有在社会上经验，天天生活在游戏里！女孩可恨！胖猫悲剧！愿人间充满爱！谢谢",17,FALSE
"",3,TRUE
"姜光宇先生：",17,FALSE
"胖猫没情感经历又老实、现在女人比男人厉害多了",32,FALSE
"如吳宗憲一首神曲的癡男實在是太多了：真心換絕情",29,FALSE
"最新的热点是你的同行——高亚麟。不知道，又要掩盖什么事儿。",6,FALSE
"棒哦！ 加油 ...",8,FALSE
"不知道這種會不會被制裁，可憐的孩子",11,FALSE
"讲得很好，非常精彩，特别是最后那几条感悟！",18,FALSE
"不建議移民，還是待在牆內就好，這些人移民只會搞破壞而已",0,FALSE
"哈哈哈哈這期講情感的節目突然提起: 炒股能賺錢！ 真是出現的我措手不及",9,FALSE
"见两三次就是女朋友了",11,FALSE
"光宇你好",14,FALSE
"精彩的故事…，結尾處的感悟 受用！謝謝光宇老師",26,FALSE
"每天都很期待光宇的節目！喜歡聽你講故事！",19,FALSE
"胖貓不胖",1,FALSE
"手里攥了一条命，我们看！有点耐心",5,FALSE
"真心不喜欢四川的女生",28,FALSE
"出来混总是要还的 这个女孩路还长着呢",10,FALSE
"中國社會敗壞",1,FALSE
"以前打电遊是喪权辱国的事，但现在电遊可以入奥运的事，概光宗也耀祖，什至可保卫地球，横扫宇宙，Al已是不爭的事实矣",5,FALSE
"支持光宇",11,FALSE
"怎么就没有男人这么迷恋我呢",1,FALSE
"捞女太凶残、胖猫跳江事、捞女太贪钱、光宇早晨、一早刷到你的视频太开心了",13,FALSE
"譚竹 感覺 好像柯文哲 一樣愛流量",1,FALSE
"为什么不弄字幕，你的团队也是挺大的，字幕都不弄",1,FALSE
"美国这两年钱也不好赚",0,FALSE
"男人一定要好好保護自己",12,FALSE
"胖貓被下降頭！ 很可惜，他該去有陽光的公園，散步或慢跑。",4,FALSE
"柯P聽了會不開心的",0,TRUE
"那就祝你開心一天喔",2,TRUE
"",1,TRUE
"最后故事深刻",3,FALSE
"这话说的，无欲无求你出家好了，找男女朋友干什么？ 这孩子但凡看了一点童锦程的视频也不至于这个样子。你钱都给她了，她还留着你过年啊？你有钱就得让她知道，但是你给你妈你姐花钱1，就是不给她，你再看她什么态度。",1,FALSE
"支持光宇",8,FALSE
"男追女隔重山，女追男隔層紗啊！一個對自己沒啥自信的男孩，若是碰到長相甜美的女孩主動示愛，肯定招架不住！但世上沒有從天而降的餡餅，大喜過望、受寵若驚之際還是要保持冷靜與理性。因為綠茶婊的殺豬盤正向你迎面撲來，不知道閃避就等著被人欺騙坑錢，人財兩失吧！謝謝光宇的生動講述",5,FALSE
"添油加醋的描述",0,FALSE
"说的好认同主持人的价值观",6,FALSE
"",0,TRUE
"女方照片有点像之前的苏享茂的女朋友，故事情节也相似",2,FALSE
"你每个视频解说清字正腔圆语言流畅越听越上瘾",1,TRUE
"打游戏为生总是生活在虚幻世界里",5,FALSE
"胖猫也有问题才沉迷游戏",0,FALSE
"失戀太少",0,FALSE
"男人愛渣女，女人愛渣男，這就是紅塵俗世的悲情。",29,FALSE
"道歉那个不是女主，请光宇做好调查！",2,FALSE
"这个人是人吗？小恶魔。有心有肺吗？是她逼死的他有罪。不是死刑也要关二十年犯罪是有成本的，不能轻而易举地让他逍遥法外。让每个人都警醒没有权利，霸占别人的劳动成果威逼利诱是吧？",0,FALSE
"「譚竹」未來的代價是什麼？恐怕會換到一生的《守墓者》。",1,FALSE
"根本詐騙",4,FALSE
