"text","likeCount","reply"
"貪圖有這樣的女朋友 為自己的幻想付出代價",1,FALSE
"現在講這個夠假",7,FALSE
"想趁人家自殺再賺最後一筆吧？無恥",59,FALSE
"能怪誰？怪自己蠢",3,FALSE
"為什麼有這麼無聊的新聞",4,FALSE
"跟有人被詐騙一樣，有些人就是只會笑被害者",40,FALSE
"太傻了",1,FALSE
"剛剛看到標題「遭女友榨乾」才點進來看的，沒想到此「榨乾」非彼「榨乾」",33,FALSE
"很苦…雖然忽略了沿路風景，以後不痛了…慢走…",1,FALSE
"人患不自知, 以為錢能買到人家愛你! 要怪誰",1,FALSE
"應該一命賠一命....",1,FALSE
"金錢買不到愛情 買不到友情",6,FALSE
"有照片嗎？ 不要修圖的",1,FALSE
"惡人真多",18,FALSE
"自己要給的...唉",2,FALSE
"看個韓劇就被判死刑 也太扯 比扯鈴還扯 真是神奇的國度呢！",6,FALSE
"看完這裡的評論，台灣人的思想真的好特別。難道是鬼島..",4,FALSE
"這在台灣，橋上應該只是跟",0,FALSE
"FB Youtube IG一堆詐騙網站 要不要也全部禁用 感覺好像哪個國家呢",5,FALSE
"看來是真的沒新聞了",2,FALSE
"但是可以買麥當勞",5,TRUE
"台媒蠻關心祖國事的，老愛報導然後又愛反中國",3,FALSE
"如果這樣榨榨到往生，那要為他感到悲傷還是祝福他呢？",3,TRUE
"陪玩是啥？",1,FALSE
"好噁心啊這女的, 還「貓貓」。 如果真的是內疚就和他一起上路啊, 跟全世界道歉有什麼用。",174,FALSE
"拿我的照片去給對方看 我這裡有照片 詐騙集團看完 保證 落慌而逃 加速逃逸 立刻消失無影無蹤 詐騙集團隨便拿個美女圖 有沒有這個人 傻瓜 還去自殺",0,FALSE
"又一個純愛戰士倒下了。",27,FALSE
"看韭菜怎麼罵其他國家的人，又愛去那邊享受自由啊",2,TRUE
"女方說五月領證。",0,TRUE
"看了真的很氣 這杯不要臉的破",3,FALSE
"这个道歉视频是Ai的 假的哈哈",1,FALSE
"她是被大炎上後，才在那邊發道歉影片。",22,FALSE
"金錢買得到快樂，請花在自己身上！！！ 一定要懂愛自己和保護自己！",25,FALSE
"代玩，代練級",0,TRUE
"“男生”真的要好好保護自己",37,FALSE
"處男？",3,FALSE
"最可笑的是這不是她本人…這女的只是為了熱度而已 已經發視頻道歉了",67,FALSE
"哈哈爽也到了",0,FALSE
"这个就是视频截图，基本上很接近了，男的和女的都挺好看的，满分10至少6-7分有的。",1,TRUE
"做婊就不要怕人知道 鬧越大越好 中國這種敗金女太多了 男人送錢像是應該的一樣理所當然",0,FALSE
"明明就寫227萬，太會裝傻！",6,TRUE
"但現今社會、大部分有錢才得到女人心！",6,FALSE
"滿漂亮的阿",2,TRUE
"說牆內好 卻又愛翻牆享受言論自由",1,TRUE
"我都賺不到那些錢...連被割韭菜的資格都沒有",0,FALSE
"為什麼主播，將被處死的新聞還可以笑，很不專業",0,FALSE
"-y7g6v 你們啊滯台外省",0,TRUE
"好笑的是，這不是本人",14,TRUE
"世人那麼辛苦只為碎銀幾兩....為1萬就能互砍了",2,FALSE
"詐騙就是詐騙",14,FALSE
"不是被女友詐騙是大陸女找對象不都是秤斤秤兩的；道啥歉轉頭繼續斷崖式找新的！",2,FALSE
"影片中的女子，在大陸那邊已經說是AI，不是真人本人。",12,FALSE
"雖然曾經也有過男生喜歡我到這種程度，但我從來沒有利用過任何男人、佔任何男人的便宜，我的良心根本無法做出這種事情",68,FALSE
"露腿找新爹",0,FALSE
"年輕人太衝動了，長大之後就知道，很多事情比這些重要。",1,FALSE
"布蘭妮要怎樣",1,TRUE
"官員都魚肉百姓了 百姓當然有樣學樣",3,FALSE
"去陪胖貓吧",0,FALSE
"這個女的，會有報應",42,FALSE
"問世間情為何物",0,FALSE
"我還以為是精盡人亡勒 結果是金盡人亡 真的是標題黨騙點閱 差評",0,FALSE
"還沒結婚就把全部的錢都給他..沒結婚之前都有可能是別人的..要怪就怪自己蠢",0,FALSE
"很好啊，有胖貓的女友在，狗中國一定有很多精友",0,FALSE
"-r3q 就是因為看到227萬才好奇點進來看啊 不然不是一次都兩億嗎?",1,TRUE
"男生多看看紅藥丸吧 好好保護自己",0,FALSE
"怎麼都怪男生蠢呀",0,TRUE
"台灣渣男渣女比例 渣女比渣男多1.3倍 渣男有35%而且是要有點帥氣跟錢的 長的普通的渣女是40%左右 長的正的網美網紅那種顏值的大概出軌偷情或是外遇率是80% 不知道這數據準不準 目前看三個數據百分比都接近 所以台灣女生出軌或偷情外遇機率很高 十個就有四個",0,FALSE
"那是化妝 有沒化妝前的 還蠻可怕的",6,TRUE
"台灣渣男渣女比例 渣女比渣男多1.3倍 渣男有35%而且是要有點帥氣跟錢的 長的普通的渣女是40%左右 長的正的網美網紅那種顏值的大概出軌偷情或是外遇率是80% 不知道這數據準不準 目前看三個數據百分比都接近 所以台灣女生出軌或偷情外遇機率很高 十個就有四個",0,TRUE
"那你是個很不錯的人 因為台灣有40%的女性會這樣做 而且是長相普通的女生 如果是長相漂亮的女生 有80%是跟譚竹一樣的 這是數據調查出來的 一個是國外的資料 兩個是台灣的不知道哪個研究所研究出來 另一個是 大學",26,TRUE
"晚安胖貓",0,FALSE
"現在這社會真的是男生要好好保護自己",12,TRUE
"台灣渣男渣女比例 渣女比渣男多1.3倍 渣男有35%而且是要有點帥氣跟錢的 長的普通的渣女是40%左右 長的正的網美網紅那種顏值的大概出軌偷情或是外遇率是80% 不知道這數據準不準 目前看三個數據百分比都接近 所以台灣女生出軌或偷情外遇機率很高 十個就有四個",0,TRUE
"兩年只見過兩次面",0,FALSE
"破",1,FALSE
"這就是造成台灣長相普通的女性中就有40%的渣女 長相比較好看的美女就有80%是渣女",1,TRUE
"95%",0,TRUE
"誇張的是譚竹還是個拉拉(女同),常泡酒吧點帥T的檯,小費也給得很闊綽!",0,FALSE
"靠邀 誰啊? 乾我屁事",0,FALSE
"結果買到的是空袋子跟白開水",0,TRUE
"？它國事務",0,FALSE
"同中國人拍拖就是這個下場。希望今次事件可以成為一個警世教材。",0,FALSE
"9487詐騙完胖貓 接下來換廋貓",0,FALSE
"可怜的孩子……这女的从头到尾都在利用你啊……她花言巧语背后隐藏着的全是目的啊 加上这孩子我感觉他在谈恋爱之前性格就很抑郁，他好像在这之前就已经过的很不开心了",4,FALSE
"這是趁機找乾爹吧",0,FALSE
"？",0,TRUE
"這種男生已絕種",3,FALSE
"哈哈哈要自己保護自己'不要亂相信人 結果他認識的是詐騙集團的人",2,FALSE
"女生在跟男生接觸的第一瞬間，就會進行分類，如果是歸類到不會交往(工具人)那類，你付出再多也無用，這個在相親也很準，事後女生沒連繫的，你也不用浪費時間，她就是對你沒興趣，你花再多力氣也是無用功。女生對你有興趣，什麼時候打電話都很方便，約什麼時候都會有空，女生對你沒興趣，打電話只會要洗澡要睡覺要追劇，要約出來也會喊沒空，也不會主動說自己哪時有空。個人後來只體認到一點，賺錢才是最快樂的事情，錢才是永遠不會背叛你嫌棄你的，養隻狗都比追那些眼高過天的醜女要好一千萬倍。",42,FALSE
"事實證明, 好好出來社會 別一直宅在家裡 好好學學經驗! 別太以為一廂情願 感情也是要累積經驗的!",1,FALSE
"一開始記者卡痰",0,FALSE
"太卑微了... 導致被牽制... 玩人感情 會有因果..",8,FALSE
"告詐欺啊長的這麼普通",0,FALSE
"網路上的女人哪個不是在吸血，要是正常生活中有對象怎會讓他們上網搞這種擦邊球",7,FALSE
"姨",0,FALSE
"交友軟體就該全下架，只留約砲。",1,FALSE
"3:30 職業道歉人 ?",0,FALSE
"舔狗舔狗一無所有",0,FALSE
"現代10個女人，有9個都是剝皮女，男人要好好保護自己",0,FALSE
"無聊 女人本就是錦上添花的東西 記住 男人注定要學習支配女人",1,FALSE
"不是阿這女的是假的，還開直播賺錢蹭熱度結果帳號被封了，為啥都沒有去做好功課就當新聞報...",2,FALSE
"會說‘’女人要好好保護自己的女人‘’，注意觀察都是綠茶婊",0,TRUE
"不分男女這類事件全世界應該很多，大家應該重視",1,FALSE
"不喜歡、就不要利用、也不要浪費別人的時間、更不要騙錢！",18,FALSE
"私下還在罵",2,TRUE
"這跟詐騙一樣",6,TRUE
"宅 也是自尋死路",0,FALSE
"太想不開了，台灣多少人連見面都沒有就花了超過220萬",0,FALSE
"工具人無誤",1,FALSE
"女生就是愛錢。 沒錢就是沒有未來。",6,FALSE
"女生靠吃男生用男生的提升自己，最後找個高富帥回收。",13,TRUE
"沒錢養不起敗金女.不分手等破產.雖有X亡! 全中國有那麼多女人.傻子!",0,FALSE
"祝她所有的錢都被小狼狗騙光",0,FALSE
"有種直播呀長的一副臉",0,FALSE
"別再輕易相信女人了 傻屌 這就是你們的結局 舔狗舔到連人都不如",0,FALSE
"21歲有兩百萬!! 我由衷佩服 這年紀有在賺錢不稀奇 但也是在花錢的年紀!!",3,FALSE
"賺勃起財的女人  道歉 再賺更多勃起財！糾纏多男！",0,TRUE
"最糟糕的事，他用同樣手法，再賣一次慘",2,TRUE
"已經不是人 判死刑",12,FALSE
"不要當舔狗，麥當勞吃到發福",0,FALSE
"人的命可以重如泰山或輕如鴻毛 人生是自己的 ! 這關你過不了，其實也不用講以後了",0,FALSE
"AI吧？這道歉視頻",0,FALSE
"",0,TRUE
"胖貓應該是處男",1,TRUE
"這種男生在現代已經絕種了",1,FALSE
"-c4n 骗他的，因为男生要22才能结婚，在满22之前故意跟他分手，白白榨干他两年",0,TRUE
"恭喜社會仇女風氣再添一助攻",9,FALSE
"夙世前缘系赤绳，蓝桥水涨事难成。",0,FALSE
