word,total_count
不知道,172
为什么,154
受害者,118
pua,115
是不是,101
為什麼,100
女朋友,95
大部分,81
真的是,79
中国人,67
而不是,66
也不是,64
不可能,61
可能是,59
在一起,57
這件事,55
男女平等,52
不值得,46
也没有,44
没什么,44
一個人,43
不需要,43
尤其是,42
差不多,42
都沒有,42
高速公路,42
麥當勞,42
越来越,41
有沒有,39
也可以,38
第一次,38
麦当劳,38
一部分,36
主要是,35
有些人,35
不平等,34
這就是,34
女孩子,32
全世界,31
自助餐,31
万余元,30
人民幣,30
男朋友,30
我知道,29
所谓的,29
男孩子,29
一定是,28
也不能,28
太好了,27
一直在,26
價值觀,26
基本上,26
都不是,26
都可以,26
都没有,26
到底是,25
就不會,25
應該是,25
肯定是,25
不管是,24
也沒有,24
其实是,24
就不是,24
成年人,24
年輕人,23
不存在,22
能不能,22
不正常,21
不一定,20
每个人,20
世界上,19
也不會,19
只不过,19
家庭的,19
沒什麼,19
不在乎,18
也不会,18
越來越,18
npd,17
不会有,17
任何人,17
垃圾桶,17
好像是,17
我認為,17
男尊女卑,17
看不到,17
不至于,16
之所以,16
也就是,16
最好的,16
不公平,15
单方面,15
說實話,15
這句話,15
重男轻女,15
並不是,14
單方面,14
就应该,14
有道理,14
每個人,14
没想到,14
生育率,14
看起來,14
還不如,14
陌生人,14
atm,13
user,13
什么时候,13
动不动,13
大多數,13
從頭到尾,13
想不開,13
我看到,13
會不會,13
有時候,13
莫名其妙,13
一大堆,12
一輩子,12
不喜歡,12
不得不,12
並沒有,12
会不会,12
可能性,12
得不到,12
理所當然,12
解放軍,12
還是要,12
一方面,11
一辈子,11
不平衡,11
加拿大,11
只要是,11
可能會,11
吸血鬼,11
奢侈品,11
婚姻法,11
找不到,11
走出来,11
进一步,11
50w,10
liang,10
不應該,10
不然就,10
亲密关系,10
共產黨,10
反而是,10
各方面,10
女主角,10
如果有,10
就應該,10
感受到,10
我也不,10
我还是,10
或者是,10
根深蒂固,10
注意力,10
然后就,10
理所当然,10
经历过,10
老百姓,10
說真的,10
都不會,10
13.6,9
n9j,9
q6d,9
一天到晚,9
一定會,9
不仅仅是,9
不合理,9
事實上,9
几十年,9
受不了,9
只看到,9
多少錢,9
多少钱,9
大学生,9
天經地義,9
天经地义,9
好不好,9
實際上,9
小伙子,9
心上人,9
怎么说,9
我不是,9
看起来,9
绝大部分,9
衛生紙,9
還可以,9
靠自己,9
一件事,8
一直都,8
一般人,8
下輩子,8
不介意,8
不健全,8
交通事故,8
公安局,8
其實是,8
刑事案件,8
到底有,8
咎由自取,8
