ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Informed Consent ,Gender,Gender_4_TEXT,Age,Ethnicity,Hispanic or Latino,Education,Employment,Income,Residency-State,Residency-Community,Residency-Community_4_TEXT,Political Ideology _1,Party Affiliation _1,Voting,G2-Timer_First Click,G2-Timer_Last Click,G2-Timer_Page Submit,G2-Timer_Click Count,g2-field-study,g2-field-work,g2q2_1,g2q2_2,g2q3a,g2q3b,g2q3c,g2p4_1,g2p4_2,G1-Timer_First Click,G1-Timer_Last Click,G1-Timer_Page Submit,G1-Timer_Click Count,G1_control,G1_republican,G1_democratic,G1_Q2_allgroups,G1_Q3_allgroups,G1_Q4_allgroups,G3-Timer_First Click,G3-Timer_Last Click,G3-Timer_Page Submit,G3-Timer_Click Count,g3q1_1,g3q1_2,g3q1_3,g3q3,g3q2-attention check,G5_timer_First Click,G5_timer_Last Click,G5_timer_Page Submit,G5_timer_Click Count,G5q1_trust_headline,G5q2_successful,G5q3_trust_platforms_1,G5q3_trust_platforms_2,G5q3_trust_platforms_3,G5q3_trust_platforms_4,G5q3_trust_platforms_5,G7_timer_First Click,G7_timer_Last Click,G7_timer_Page Submit,G7_timer_Click Count,G7Q1,G7Q2,G7Q3,G7Q4,G13-Timer_First Click,G13-Timer_Last Click,G13-Timer_Page Submit,G13-Timer_Click Count,G13_DV,G14_timer_First Click,G14_timer_Last Click,G14_timer_Page Submit,G14_timer_Click Count,G14_Axis1_IOcooperat,G14_Axis1_sovereignt,G14_Axis2_democracy,G14_Axis2_strongman,G14_Axis2_majority,G14_Axis2_constituti,Overall_ManipulCheck,Overall_ManipulCheck_DO,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,state,Create New Field or Choose From Dropdown...,FL_76_DO,Group2_Gender&AcademicCapability-FirstHalf_DO,Group1_CampaignFinance_DO,Group3_ImmigrantsOrigins_DO,Group5_MistrustSocialMedia_DO,Group7_JunkfoodAds_DO,Group13_AITrust_DO,Group14_Authoritarianism&AmericanRights_DO
R_5plgsxv5CHh8iUc,29.4551,-98.6498,anonymous,EN,0.800000012,Yes,Male,,1978,Two or more races,Hispanic or Latino,High school diploma or GED,Working part-time,"Less than $25,000",Texas,Urban,,Very Liberal,Independent,Neither - voted for an independent candidate,4.3,22.403,23.321,10,Arts,Sell fruit ,Terrible,Terrible,,,Natural brilliance,Terrible,Terrible,2.2,18.861,19.4,9,Neither support or oppose,,,"Republicans, by a little",$15 ,No,0.798,16.899,17.6,10,To a very small extent,To a very small extent,To a moderate extent,"Yes, I have close family members who are immigrants.",An immigrant who is applying for permanent residency in the United States,0.93,19.672,20.596,14,Trust,Likely,Likely,Likely,Very Likely,Likely,Likely,1.015,37.532,38.308,11,Yes,Moderate,I'd grab it instantly!,Strongly Agree,0.786,15.305,16.26,15,AI alone,0.884,18.76,19.672,25,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Campaign finance or donation limit,Campaign finance or donation limit|Trust of social media platforms|A case heard and decided by the International Criminal Court|Evaluating a student's academic performance,68199a42-a394-a749-65c4-c75c15baa092,46,1,1,16,2,2,3,3,78542,,,Group14_Authoritarianism&AmericanRights|Group13_AITrust|Group3_ImmigrantsOrigins|Group5_MistrustSocialMedia|Group1_CampaignFinance|Group7_JunkfoodAds,g2-field-study|g2-field-work|g2q1c|g2q2|G2-Timer,G1-Timer|G1_control|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-2x1|g3q1|g3q3|g3q2-attention check,G5_timer|G5_tiktok|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_treatment_ads|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_HighRisk_3|G13_DV,G14_timer|G14_Control|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_5D0wIGOygyTVOoa,39.923,-82.8664,anonymous,EN,0.600000024,Yes,Female,,1977,White,Hispanic or Latino,Associates or technical degree,Working full-time,"$25,000-$49,999",Ohio,Suburban,,Moderate,Independent,Neither - voted for an independent candidate,1.601,61.381,62.366,39,business administration ,business office,Excellent,Excellent,,"External help (tutors, parents)",,Poor,Poor,1.001,30.4,31.8,21,,,Neither support or oppose,Both parties receive similar amounts,3700,Yes,0.831,32.296,32.9,21,Not at all,Not at all,Not at all,I’m not sure.,An immigrant who is applying for permanent residency in the United States,0.964,35.696,36.435,31,Strongly Distrust,Very Unlikely,Uncertain/Undecided,Uncertain/Undecided,Very Unlikely,Very Unlikely,Very Unlikely,1.182,30.328,31.56,24,Yes,Moderate,I'd grab it instantly!,Agree,1.467,26.001,26.7,20,Human alone,0.91,20.206,20.843,26,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,A case heard and decided by the International Criminal Court,Campaign finance or donation limit|Trust of social media platforms|Evaluating a student's academic performance|A case heard and decided by the International Criminal Court,68199a4b-950d-0b4f-726f-36d668890da3,47,2,10,1,1,6,3,2,43223,,,Group1_CampaignFinance|Group5_MistrustSocialMedia|Group3_ImmigrantsOrigins|Group14_Authoritarianism&AmericanRights|Group7_JunkfoodAds|Group13_AITrust,g2-field-study|g2-field-work|g2q1b|g2q2|G2-Timer,G1-Timer|G1_democratic|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-1x2|g3q1|g3q3|g3q2-attention check,G5_timer|G5_control|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_control|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_HighRisk_2|G13_DV,G14_timer|G14_Treatment|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_5ODCIi5UPBySuoy,31.7087,-89.1318,anonymous,EN,1,Yes,Male,,1997,White,Not Hispanic or Latino,Associates or technical degree,Other,"Less than $25,000",Mississippi,Suburban,,Very Liberal,Democrat,Democratic candidate,5.377,51.131,51.9,10,Biology,Disabled,Good,Excellent,Natural brilliance,,,Good,Average,12.418,44.879,45.515,12,,Support,,"Republicans, by a lot",100000,No,1.261,47.926,49.3,12,To a very great extent,To a great extent,To a very great extent,"No, I do not personally know any immigrants.",An immigrant who is applying for permanent residency in the United States,6.563,55.773,57.17,25,Distrust,Unlikely,Uncertain/Undecided,Unlikely,Very Unlikely,Very Unlikely,Unlikely,1.547,24.7,44.609,17,Yes,Unhealthy,I'd grab it instantly!,Agree,1.617,29.999,30.563,6,Human assisted by AI,5.537,73.312,76.4,23,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,A case heard and decided by the International Criminal Court,A case heard and decided by the International Criminal Court|Campaign finance or donation limit|Trust of social media platforms|Evaluating a student's academic performance,68199a17-5923-45b6-f85b-455d4027b6d3,27,1,8,1,1,5,1,3,39437,,,Group13_AITrust|Group14_Authoritarianism&AmericanRights|Group7_JunkfoodAds|Group5_MistrustSocialMedia|Group3_ImmigrantsOrigins|Group1_CampaignFinance,g2-field-study|g2-field-work|g2q1a|g2q2|G2-Timer,G1-Timer|G1_republican|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-2x1|g3q1|g3q3|g3q2-attention check,G5_timer|G5_snapchat|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_control|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_HighRisk_1|G13_DV,G14_timer|G14_Treatment|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_5ltCUQYJaoKvvsg,40.033,-76.2867,anonymous,EN,1,Yes,Female,,1969,White,Not Hispanic or Latino,Associates or technical degree,Working full-time,"$75,000-$99,999",Pennsylvania,Urban,,Moderate,Strong Republican,Republican candidate,2.578,80.436,81.074,14,Nursing ,Nursing ,Excellent,Excellent,Strong work ethic,,,Excellent,Excellent,11.506,37.952,39.389,11,,Neither support or oppose,,"Democrats, by a lot",10000,No,2.443,36.91,37.558,10,To a moderate extent,To a somewhat great extent,To a moderate extent,"No, I do not personally know any immigrants.",An immigrant who is applying for permanent residency in the United States,3.919,33.023,36.9,15,Strongly Distrust,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,0.241,26.572,54.058,18,Yes,Moderate,I'd probably say yes.,Agree,16.48,23.194,26.557,3,Human assisted by AI,2.878,47.27,47.675,15,Neutral,Neutral,Strongly Disagree,Neutral,Disagree,Disagree,Trust of social media platforms,Trust of social media platforms|Evaluating a student's academic performance|Campaign finance or donation limit|A case heard and decided by the International Criminal Court,68199a8e-bb09-732b-1b4d-ebbe72f61142,56,2,5,1,1,5,3,1,17603,,,Group3_ImmigrantsOrigins|Group14_Authoritarianism&AmericanRights|Group5_MistrustSocialMedia|Group7_JunkfoodAds|Group13_AITrust|Group1_CampaignFinance,g2-field-study|g2-field-work|g2q1a|g2q2|G2-Timer,G1-Timer|G1_republican|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-1x1|g3q1|g3q3|g3q2-attention check,G5_timer|G5_twitter|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_control|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_HighRisk_3|G13_DV,G14_timer|G14_Treatment|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_3sRyp2PnnHL00uU,33.8041,-118.1874,anonymous,EN,0.899999976,Yes,Male,,1974,White,Hispanic or Latino,Bachelor’s degree,Working full-time,"$150,000 or more",California,Suburban,,Moderate,Independent,Republican candidate,1.34,104.12,106.537,40,Business,Accounting,Excellent,Excellent,Natural brilliance,,,Average,Terrible,1.177,39.277,41.059,24,,Neither support or oppose,,Both parties receive similar amounts,10000,No,2.119,99.534,102.102,61,To a very great extent,To a very great extent,To a very great extent,"Yes, I have close family members who are immigrants.,Yes, I have friends who are immigrants.,Yes, I have coworkers or acquaintances who are immigrants.",An immigrant who is applying for permanent residency in the United States,3.615,43.172,44.244,31,Can't say,Can't say,Uncertain/Undecided,Uncertain/Undecided,Uncertain/Undecided,Uncertain/Undecided,Uncertain/Undecided,1.623,34.393,35.526,15,Yes,Moderate,I'd politely pass.,Agree,1.933,20.807,21.985,14,Human alone,1.777,89.712,90.4,44,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,A case heard and decided by the International Criminal Court,Evaluating a student's academic performance|Trust of social media platforms|Campaign finance or donation limit|A case heard and decided by the International Criminal Court,68199a26-a5de-6404-fa38-5005ef4cd49f,51,1,18,1,1,5,6,4,90810,,,Group3_ImmigrantsOrigins|Group1_CampaignFinance|Group5_MistrustSocialMedia|Group13_AITrust|Group14_Authoritarianism&AmericanRights|Group7_JunkfoodAds,g2-field-study|g2-field-work|g2q1a|g2q2|G2-Timer,G1-Timer|G1_republican|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-2x1|g3q1|g3q3|g3q2-attention check,G5_timer|G5_facebook|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_control|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_LowRisk_BlogWrit|G13_DV,G14_timer|G14_Control|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_72N25iOXbdjL0xX,38.4799,-121.4451,anonymous,EN,0.699999988,Yes,Male,,1981,White,Not Hispanic or Latino,High school diploma or GED,Unemployed and looking for work,"Less than $25,000",California,Urban,,Moderate,Independent,Neither - voted for an independent candidate,6.627,37.759,38.932,8,not me,unemployment ,Terrible,Terrible,,Strong work ethic,,Terrible,Terrible,0.921,18.324,19.63,12,,,Neither support or oppose,"Democrats, by a little",12,No,0.888,23.849,23.869,24,To a moderate extent,To a moderate extent,To a great extent,"Yes, I have close family members who are immigrants.,Yes, I have friends who are immigrants.",An immigrant who is applying for permanent residency in the United States,1.585,36.171,36.191,29,Strongly Trust,Very Likely,Very Unlikely,Likely,Likely,Very Unlikely,Very Likely,1.902,64.427,65.732,14,Yes,Moderate,I'd grab it instantly!,Strongly Agree,0.826,27.258,28.578,32,Human assisted by AI,0.245,21.234,21.255,19,Agree,Agree,Agree,Agree,Strongly Agree,Agree,A case heard and decided by the International Criminal Court,Campaign finance or donation limit|Trust of social media platforms|A case heard and decided by the International Criminal Court|Evaluating a student's academic performance,68199ab3-8437-fa9a-234f-06709e4078d4,44,1,9,1,1,1,3,4,95815,,,Group7_JunkfoodAds|Group14_Authoritarianism&AmericanRights|Group3_ImmigrantsOrigins|Group13_AITrust|Group1_CampaignFinance|Group5_MistrustSocialMedia,g2-field-study|g2-field-work|g2q1b|g2q2|G2-Timer,G1-Timer|G1_democratic|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-1x2|g3q1|g3q3|g3q2-attention check,G5_timer|G5_control|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_treatment_ads|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_HighRisk_3|G13_DV,G14_timer|G14_Treatment|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_3QSw8s1Nkh0zaWY,38.6101,-90.56,anonymous,EN,0.899999976,Yes,Female,,1993,White,Not Hispanic or Latino,"Some college, but no degree",A homemaker or stay-at-home parent,"$25,000-$49,999",Missouri,Rural,,Moderate,Independent,I didn't vote in the last election,2.213,57.064,58.441,10,Nursing,Don’t work,Excellent,Excellent,,Strong work ethic,,Excellent,Excellent,10.603,36.068,36.089,10,Neither support or oppose,,,Both parties receive similar amounts,0,No,37.628,68.516,69.201,11,To a very great extent,To a very great extent,To a very great extent,I’m not sure.,An immigrant who is applying for permanent residency in the United States,9.356,57.93,59.5,17,Distrust,Likely,Uncertain/Undecided,Uncertain/Undecided,Uncertain/Undecided,Uncertain/Undecided,Uncertain/Undecided,7.595,35.201,37.177,11,Yes,Unhealthy,I'd grab it instantly!,Strongly Disagree,18.114,26,27.441,2,Collaboration between AI and Human (50-50),15.18,102.102,104.169,25,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,A case heard and decided by the International Criminal Court,Campaign finance or donation limit|Evaluating a student's academic performance|A case heard and decided by the International Criminal Court|Trust of social media platforms,68199a1c-f7d0-cad6-713b-7995c3cdb313,32,2,4,1,1,4,3,2,63037,,,Group7_JunkfoodAds|Group3_ImmigrantsOrigins|Group14_Authoritarianism&AmericanRights|Group1_CampaignFinance|Group5_MistrustSocialMedia|Group13_AITrust,g2-field-study|g2-field-work|g2q1b|g2q2|G2-Timer,G1-Timer|G1_control|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-2x2|g3q1|g3q3|g3q2-attention check,G5_timer|G5_tiktok|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_control|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_LowRisk_SongColl|G13_DV,G14_timer|G14_Control|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_8eVQjkVMDKewSIN,40.4102,-104.7584,anonymous,EN,0.699999988,Yes,Female,,1986,White,Not Hispanic or Latino,"Some college, but no degree",Working part-time,"$150,000 or more",Colorado,Rural,,Very Liberal,Democrat,Democratic candidate,10.312,80.512,85.149,21,Engineering ,Engineering ,Good,Average,Strong work ethic,,,Good,Average,3.205,52.046,53.033,8,,Support,,"Democrats, by a little",20,Yes,1.052,61.139,61.928,11,To a small extent,To a very small extent,To a great extent,"Yes, I have close family members who are immigrants.",An immigrant who is applying for permanent residency in the United States,5.459,70.794,72.001,19,Trust,Likely,Likely,Very Unlikely,Likely,Uncertain/Undecided,Unlikely,4.713,32.335,34.385,10,Yes,Moderate,I'd grab it instantly!,Agree,2.274,22.898,22.931,5,Human assisted by AI,1.872,44.006,45.638,15,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Evaluating a student's academic performance,Campaign finance or donation limit|Evaluating a student's academic performance|Trust of social media platforms|A case heard and decided by the International Criminal Court,68199a22-1b26-37f6-3a41-73478d027c2b,39,2,24,1,1,6,1,4,94123,,,Group13_AITrust|Group3_ImmigrantsOrigins|Group5_MistrustSocialMedia|Group14_Authoritarianism&AmericanRights|Group1_CampaignFinance|Group7_JunkfoodAds,g2-field-study|g2-field-work|g2q1a|g2q2|G2-Timer,G1-Timer|G1_republican|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-2x2|g3q1|g3q3|g3q2-attention check,G5_timer|G5_snapchat|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_control|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_LowRisk_SongColl|G13_DV,G14_timer|G14_Treatment|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_56SlrARHYbANMRz,32.2972,-96.1188,anonymous,EN,0.800000012,Yes,Female,,1988,White,Not Hispanic or Latino,Associates or technical degree,Working full-time,"$50,000-$74,999",Texas,Rural,,Moderate,Independent,I didn't vote in the last election,1.087,35.025,36.8,8,Criminal justice ,Insurance ,Excellent,Good,Strong work ethic,,,Excellent,Good,6.23,35.682,46.152,17,Neither support or oppose,,,Both parties receive similar amounts,"10000
10000",No,1.727,67.188,67.672,15,To a great extent,To a great extent,To a great extent,"No, I do not personally know any immigrants.",An immigrant who is applying for permanent residency in the United States,3.45,31.167,31.944,17,Distrust,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,1.2,54.825,55.227,10,Yes,Unhealthy,I'd politely pass.,Agree,2.715,17.596,18.095,7,AI alone,4.618,53.939,54.701,12,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,A case heard and decided by the International Criminal Court,Campaign finance or donation limit|A case heard and decided by the International Criminal Court|Trust of social media platforms|Evaluating a student's academic performance,68199ad4-5ad2-d24a-d1eb-a440a9ebe85f,36,2,9,1,1,4,3,3,75148,,,Group14_Authoritarianism&AmericanRights|Group7_JunkfoodAds|Group5_MistrustSocialMedia|Group13_AITrust|Group3_ImmigrantsOrigins|Group1_CampaignFinance,g2-field-study|g2-field-work|g2q1a|g2q2|G2-Timer,G1-Timer|G1_control|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-2x1|g3q1|g3q3|g3q2-attention check,G5_timer|G5_facebook|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_treatment_ads|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_LowRisk_Collab|G13_DV,G14_timer|G14_Control|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_3QKvJILpdni1Xws,44.833,-91.5125,anonymous,EN,0.899999976,Yes,Male,,1961,White,Not Hispanic or Latino,Associates or technical degree,Retired,"Less than $25,000",Wisconsin,Rural,,Moderate,Independent,I didn't vote in the last election,8.719,68.785,72.25,11,Heakth Administration ,Healthcare,Excellent,Excellent,"External help (tutors, parents)",,,Good,Good,18.448,45.338,46.944,8,,Support,,"Republicans, by a lot",10000,No,18.208,40.121,41.198,9,To a great extent,To a great extent,To a great extent,"No, I do not personally know any immigrants.",An immigrant who is applying for permanent residency in the United States,21.31,46.456,47.352,15,Distrust,Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,4.604,30.846,32,12,Yes,Healthy,I'd think about it.,Agree,24.379,41.194,42.34,7,Collaboration between AI and Human (50-50),11.979,50.51,52.186,13,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,A case heard and decided by the International Criminal Court,A case heard and decided by the International Criminal Court|Campaign finance or donation limit|Trust of social media platforms|Evaluating a student's academic performance,68199af1-5715-a859-fb4b-c0abd93d1d3f,63,1,1,1,1,5,3,2,54729,,,Group5_MistrustSocialMedia|Group14_Authoritarianism&AmericanRights|Group13_AITrust|Group3_ImmigrantsOrigins|Group7_JunkfoodAds|Group1_CampaignFinance,g2-field-study|g2-field-work|g2q1a|g2q2|G2-Timer,G1-Timer|G1_republican|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-2x2|g3q1|g3q3|g3q2-attention check,G5_timer|G5_tiktok|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_control|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_LowRisk_Collab|G13_DV,G14_timer|G14_Control|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
